"FolderName","FileCount","LatestWriteTime","TotalSizeMB"
"301. (외)한전KPS","4","21-09-09 목요일 오후 5:03:04","44.47"
"62. 태광ERP","4","24-11-14 목요일 오전 10:10:48","8.79"
"202412. K-Water 디지털플랫폼","4","25-02-24 월요일 오후 8:22:10","40.26"
"■제안 일정■","3","21-02-08 월요일 오전 10:42:15","0.27"
"제안서 자료","3","26-03-26 목요일 오전 8:50:12","34.19"
"202601. 한국재외동포청","2","26-01-13 화요일 오후 7:12:07","4.58"
"202601. 국립현대미술관","2","26-01-20 화요일 오후 3:35:28","4.56"
"02. 협약서","2","23-01-25 수요일 오후 6:25:49","0.73"
"189. 스마트한 국립병원 환경 구축 ISP","2","21-07-27 화요일 오후 5:52:28","3.9"
"802. ▶사전규격","2","20-07-07 화요일 오후 4:50:28","4.45"
"202604. 스토킹 감리사업","2","26-04-16 목요일 오후 8:14:20","0.11"
"2025. 캄보디아","1","25-08-25 월요일 오후 2:36:51","0.01"
"202502. KOICA 사업","1","25-04-28 월요일 오전 10:05:11","0.96"
"180. 차세대 국립병원정보시스템 구축","1","24-07-24 수요일 오전 10:39:19","0.07"
"자생한방병원","1","25-11-28 금요일 오전 9:31:18","33.44"
"202512 AI 디지털 교수학습 플랫폼 정보화전략계획 수립","1","25-12-03 수요일 오후 1:54:42","0.32"
"202602. 바이오헬스 클러스터 버추얼플랫폼 구축 ISP","1","26-02-04 수요일 오후 5:32:06","0.1"
"위즐리앤 로고","0","25-07-07 월요일 오전 11:45:51","0"
"ZOOM 기록","0","25-02-24 월요일 오후 8:00:08","0"
"202502. 차세대 범죄예방 통합시스템 구축","0","25-02-28 금요일 오전 11:26:44","0"
"202602. 소방출동 데이터 기반, AI분석시스템 구축","0","26-02-27 금요일 오후 3:21:18","0"
"202504. 법제빅데이터플랫폼 구축 ISP","0","25-04-02 수요일 오후 8:48:59","0"
"592. 수소차안전성본과제","0","20-02-27 목요일 오후 2:03:34","0"
"218. 국민건강보험공단중장기 ISP","0","23-05-23 화요일 오전 10:37:10","0"
